name,defender_name,shot_made_flag,n_shot,n_made
AJ Price,Manu Ginobili,1,2,1
AJ Price,Marcus Smart,0,2,0
AJ Price,Mario Chalmers,0,1,0
AJ Price,Michael Carter-Williams,1,2,1
AJ Price,Mike Muscala,0,1,0
AJ Price,Mike Scott,0,1,0
AJ Price,Nate Robinson,4,7,4
AJ Price,Nene,1,1,1
AJ Price,Norris Cole,0,3,0
AJ Price,Paul Millsap,0,1,0
AJ Price,Phil Pressey,2,4,2
AJ Price,Rajon Rondo,0,2,0
AJ Price,Richard Jefferson,0,1,0
AJ Price,Shabazz Napier,1,3,1
AJ Price,Steve Blake,0,1,0
AJ Price,Taj Gibson,1,2,1
AJ Price,Tim Duncan,0,1,0
AJ Price,Timofey Mozgov,1,1,1
AJ Price,Tony Parker,2,3,2
AJ Price,Tony Wroten,0,4,0
AJ Price,Trevor Ariza,1,1,1
AJ Price,Trevor Booker,2,3,2
AJ Price,Trey Burke,2,3,2
AJ Price,Zaza Pachulia,1,1,1
Aaron Brooks,A.J. Price,2,3,2
Aaron Brooks,Aaron Gordon,1,2,1
Aaron Brooks,Adreian Payne,0,2,0
Aaron Brooks,Al Horford,4,4,4
Aaron Brooks,Al Jefferson,4,7,4
Aaron Brooks,Alan Anderson,1,1,1
Aaron Brooks,Alexey Shved,2,2,2
Aaron Brooks,Alexis Ajinca,1,3,1
Aaron Brooks,Amir Johnson,1,2,1
Aaron Brooks,Andre Drummond,3,7,3
Aaron Brooks,Andre Iguodala,0,1,0
Aaron Brooks,Andre Miller,0,5,0
Aaron Brooks,Andre Roberson,1,2,1
Aaron Brooks,Andrea Bargnani,1,1,1
Aaron Brooks,Andrew Nicholson,0,2,0
Aaron Brooks,Anthony Davis,2,3,2
Aaron Brooks,Anthony Morrow,0,1,0
Aaron Brooks,Aron Baynes,1,2,1
Aaron Brooks,Arron Afflalo,0,1,0
Aaron Brooks,Atila Dos Santos,0,1,0
Aaron Brooks,Austin Daye,1,2,1
Aaron Brooks,Austin Rivers,0,2,0
Aaron Brooks,Avery Bradley,1,3,1
Aaron Brooks,Ben Gordon,2,3,2
Aaron Brooks,Beno Udrih,1,4,1
Aaron Brooks,Bismack Biyombo,1,5,1
Aaron Brooks,Blake Griffin,1,1,1
Aaron Brooks,Bojan Bogdanovic,1,1,1
Aaron Brooks,Bradley Beal,4,10,4
Aaron Brooks,Brandan Wright,3,7,3
Aaron Brooks,Brandon Bass,2,2,2
Aaron Brooks,Brandon Knight,3,5,3
Aaron Brooks,Brian Roberts,0,3,0
Aaron Brooks,Brook Lopez,1,2,1
Aaron Brooks,CJ Miles,0,1,0
Aaron Brooks,CJ Watson,0,3,0
Aaron Brooks,Carlos Boozer,3,5,3
Aaron Brooks,Caron Butler,0,1,0
Aaron Brooks,Channing Frye,0,4,0
Aaron Brooks,Charles Hayes,0,2,0
Aaron Brooks,Chris Andersen,0,1,0
Aaron Brooks,Chris Copeland,0,1,0
Aaron Brooks,Chris Johnson,0,2,0
Aaron Brooks,Chris Kaman,3,3,3
Aaron Brooks,Chris Paul,2,7,2
Aaron Brooks,Cody Zeller,1,3,1
Aaron Brooks,Cole Aldrich,1,1,1
Aaron Brooks,Corey Brewer,0,1,0
Aaron Brooks,Cory Joseph,0,1,0
Aaron Brooks,Courtney Lee,1,4,1
Aaron Brooks,D.J. Augustin,1,3,1
Aaron Brooks,Damian Lillard,3,6,3
Aaron Brooks,Danilo Gallinari,1,1,1
Aaron Brooks,Danny Green,2,3,2
Aaron Brooks,Dante Cunningham,0,1,0
Aaron Brooks,Dante Exum,2,4,2
Aaron Brooks,Darrell Arthur,2,3,2
Aaron Brooks,Darren Collison,1,2,1
Aaron Brooks,David Lee,0,2,0
Aaron Brooks,David West,2,5,2
Aaron Brooks,DeAndre Jordan,3,4,3
Aaron Brooks,DeMar DeRozan,0,3,0
Aaron Brooks,DeMarcus Cousins,3,3,3
Aaron Brooks,DeMarre Carroll,1,1,1
Aaron Brooks,Dennis Schroder,1,5,1
Aaron Brooks,Deron Williams,0,1,0
Aaron Brooks,Derrick Favors,1,3,1
Aaron Brooks,Devin Harris,0,1,0
Aaron Brooks,Dion Waiters,1,3,1
Aaron Brooks,Donald Sloan,0,2,0
Aaron Brooks,Draymond Green,0,2,0
Aaron Brooks,Dwight Powell,0,1,0
Aaron Brooks,Dwyane Wade,1,2,1
Aaron Brooks,Earl Clark,0,1,0
Aaron Brooks,Ed Davis,1,2,1
Aaron Brooks,Elfrid Payton,5,9,5
Aaron Brooks,Elijah Millsap,0,1,0
Aaron Brooks,Enes Kanter,1,2,1
Aaron Brooks,Eric Bledsoe,1,4,1
Aaron Brooks,Ersan Ilyasova,1,3,1
Aaron Brooks,Evan Fournier,0,1,0
Aaron Brooks,Evan Turner,1,2,1
Aaron Brooks,Furkan Aldemir,1,1,1
Aaron Brooks,Gary Harris,1,2,1
Aaron Brooks,George Hill,0,10,0
Aaron Brooks,Gerald Henderson,1,1,1
Aaron Brooks,Gerald Wallace,1,1,1
Aaron Brooks,Giannis Antetokounmpo,0,1,0
Aaron Brooks,Goran Dragic,2,3,2
Aaron Brooks,Gorgui Dieng,0,2,0
Aaron Brooks,Greivis Vasquez,5,11,5
Aaron Brooks,Harrison Barnes,1,1,1
Aaron Brooks,Hassan Whiteside,1,4,1
Aaron Brooks,Henry Sims,1,1,1
Aaron Brooks,Hollis Thompson,1,8,1
Aaron Brooks,Ian Clark,0,1,0
Aaron Brooks,Iman Shumpert,0,1,0
Aaron Brooks,Isaiah Canaan,2,4,2
Aaron Brooks,Isaiah Thomas,0,2,0
Aaron Brooks,Ish Smith,4,8,4
Aaron Brooks,JJ Hickson,0,1,0
Aaron Brooks,JJ Redick,1,3,1
Aaron Brooks,JaKarr Sampson,1,1,1
Aaron Brooks,Jae Crowder,2,3,2
Aaron Brooks,Jamal Crawford,0,1,0
Aaron Brooks,James Ennis,1,1,1
Aaron Brooks,James Harden,0,3,0
Aaron Brooks,James Jones,1,2,1
Aaron Brooks,Jared Dudley,1,2,1
