from,to,count
Markel Brown,Brook Lopez,7
Mason Plumlee,Brook Lopez,1
Mirza Teletovic,Brook Lopez,4
Sergey Karasev,Brook Lopez,6
Thaddeus Young,Brook Lopez,13
Greg Stiemsma,Bruno Caboclo,1
Greivis Vasquez,Bruno Caboclo,1
Landry Fields,Bruno Caboclo,1
Louis Williams,Bruno Caboclo,1
Chris Johnson,Bryce Cotton,1
Derrick Favors,Bryce Cotton,2
Elijah Millsap,Bryce Cotton,2
Grant Jerrett,Bryce Cotton,1
Jeremy Evans,Bryce Cotton,2
Joe Ingles,Bryce Cotton,1
Rodney Hood,Bryce Cotton,2
Trevor Booker,Bryce Cotton,1
Allen Crabbe,CJ McCollum,3
Arron Afflalo,CJ McCollum,2
Chris Kaman,CJ McCollum,4
Damian Lillard,CJ McCollum,18
Dorell Wright,CJ McCollum,4
Joel Freeland,CJ McCollum,1
LaMarcus Aldridge,CJ McCollum,5
Meyers Leonard,CJ McCollum,8
Nicolas Batum,CJ McCollum,5
Robin Lopez,CJ McCollum,2
Steve Blake,CJ McCollum,20
Wesley Matthews,CJ McCollum,5
AJ Price,CJ Miles,1
CJ Watson,CJ Miles,24
Chris Copeland,CJ Miles,8
Damjan Rudez,CJ Miles,4
David West,CJ Miles,39
Donald Sloan,CJ Miles,27
George Hill,CJ Miles,46
Ian Mahinmi,CJ Miles,2
Lavoy Allen,CJ Miles,9
Luis Scola,CJ Miles,18
Rodney Stuckey,CJ Miles,28
Roy Hibbert,CJ Miles,10
Shayne Whittington,CJ Miles,1
Solomon Hill,CJ Miles,34
CJ Miles,CJ Watson,4
Chris Copeland,CJ Watson,2
Damjan Rudez,CJ Watson,6
David West,CJ Watson,14
Donald Sloan,CJ Watson,1
George Hill,CJ Watson,7
Ian Mahinmi,CJ Watson,3
Lavoy Allen,CJ Watson,2
Luis Scola,CJ Watson,9
Rodney Stuckey,CJ Watson,15
Roy Hibbert,CJ Watson,6
Shayne Whittington,CJ Watson,2
Solomon Hill,CJ Watson,18
Austin Rivers,CJ Wilcox,4
Ekpe Udoh,CJ Wilcox,1
Glen Davis,CJ Wilcox,2
Hedo Turkoglu,CJ Wilcox,1
Jamal Crawford,CJ Wilcox,1
Jared Cunningham,CJ Wilcox,1
Jordan Farmar,CJ Wilcox,1
Jordan Hamilton,CJ Wilcox,1
Kirk Hinrich,Cameron Bairstow,1
Tony Snell,Cameron Bairstow,1
Andre Miller,Carl Landry,4
Ben McLemore,Carl Landry,11
Darren Collison,Carl Landry,17
David Stockton,Carl Landry,1
DeMarcus Cousins,Carl Landry,11
Derrick Williams,Carl Landry,1
Jason Thompson,Carl Landry,8
Nik Stauskas,Carl Landry,12
Omri Casspi,Carl Landry,11
Ramon Sessions,Carl Landry,15
Ray McCallum,Carl Landry,22
Reggie Evans,Carl Landry,5
Rudy Gay,Carl Landry,14
Ryan Hollins,Carl Landry,4
Dwight Buycks,Carlos Boozer,1
Ed Davis,Carlos Boozer,16
Jabari Brown,Carlos Boozer,2
Jeremy Lin,Carlos Boozer,92
Jordan Clarkson,Carlos Boozer,26
Jordan Hill,Carlos Boozer,7
Kobe Bryant,Carlos Boozer,38
Nick Young,Carlos Boozer,14
Robert Sacre,Carlos Boozer,2
Ronnie Price,Carlos Boozer,10
Ryan Kelly,Carlos Boozer,11
Tarik Black,Carlos Boozer,1
Wayne Ellington,Carlos Boozer,17
Wesley Johnson,Carlos Boozer,8
Amar'e Stoudemire,Carmelo Anthony,9
Andrea Bargnani,Carmelo Anthony,2
Cole Aldrich,Carmelo Anthony,2
Iman Shumpert,Carmelo Anthony,14
J.R. Smith,Carmelo Anthony,8
Jason Smith,Carmelo Anthony,15
Jose Calderon,Carmelo Anthony,41
Lance Thomas,Carmelo Anthony,1
Langston Galloway,Carmelo Anthony,6
Lou Amundson,Carmelo Anthony,2
Pablo Prigioni,Carmelo Anthony,15
Quincy Acy,Carmelo Anthony,12
Samuel Dalembert,Carmelo Anthony,9
Shane Larkin,Carmelo Anthony,16
Tim Jr. Hardaway,Carmelo Anthony,9
Andre Drummond,Caron Butler,3
Anthony Tolliver,Caron Butler,6
Brandon Jennings,Caron Butler,16
Cartier Martin,Caron Butler,1
D.J. Augustin,Caron Butler,19
Greg Monroe,Caron Butler,7
Jodie Meeks,Caron Butler,9
Joel Anthony,Caron Butler,1
John III Lucas,Caron Butler,5
Jonas Jerebko,Caron Butler,8
Josh Smith,Caron Butler,16
Kentavious Caldwell-Pope,Caron Butler,9
Reggie Jackson,Caron Butler,22
Spencer Dinwiddie,Caron Butler,8
D.J. Augustin,Cartier Martin,3
John III Lucas,Cartier Martin,2
Josh Smith,Cartier Martin,3
Kyle Singler,Cartier Martin,1
Quincy Miller,Cartier Martin,1
Reggie Jackson,Cartier Martin,1
Al-Farouq Aminu,Chandler Parsons,7
Brandan Wright,Chandler Parsons,3
Charlie Villanueva,Chandler Parsons,3
Devin Harris,Chandler Parsons,34
Dirk Nowitzki,Chandler Parsons,19
Dwight Powell,Chandler Parsons,1
Greg Smith,Chandler Parsons,1
Jae Crowder,Chandler Parsons,2
Jameer Nelson,Chandler Parsons,26
Juan Jose Barea,Chandler Parsons,22
Monta Ellis,Chandler Parsons,50
Rajon Rondo,Chandler Parsons,43
Raymond Felton,Chandler Parsons,1
Richard Jefferson,Chandler Parsons,5
Tyson Chandler,Chandler Parsons,16
Aaron Gordon,Channing Frye,1
Andrew Nicholson,Channing Frye,1
Ben Gordon,Channing Frye,7
Devyn Marble,Channing Frye,2
Elfrid Payton,Channing Frye,59
Evan Fournier,Channing Frye,16
Kyle O'Quinn,Channing Frye,5
Luke Ridnour,Channing Frye,10
Maurice Harkless,Channing Frye,3
Nikola Vucevic,Channing Frye,19
Tobias Harris,Channing Frye,7
Victor Oladipo,Channing Frye,28
Willie Green,Channing Frye,10
DeMar DeRozan,Charles Hayes,1
Greivis Vasquez,Charles Hayes,8
James Johnson,Charles Hayes,2
Kyle Lowry,Charles Hayes,3
Louis Williams,Charles Hayes,6
Al-Farouq Aminu,Charlie Villanueva,5
Amar'e Stoudemire,Charlie Villanueva,1
Chandler Parsons,Charlie Villanueva,5
Devin Harris,Charlie Villanueva,17
Dirk Nowitzki,Charlie Villanueva,3
Dwight Powell,Charlie Villanueva,1
Greg Smith,Charlie Villanueva,3
Jae Crowder,Charlie Villanueva,3
Juan Jose Barea,Charlie Villanueva,29
Monta Ellis,Charlie Villanueva,16
Rajon Rondo,Charlie Villanueva,25
Raymond Felton,Charlie Villanueva,8
Richard Jefferson,Charlie Villanueva,5
Tyson Chandler,Charlie Villanueva,6
Adreian Payne,Chase Budinger,6
Andrew Wiggins,Chase Budinger,17
Anthony Bennett,Chase Budinger,4
Corey Brewer,Chase Budinger,4
Gorgui Dieng,Chase Budinger,14
Justin Hamilton,Chase Budinger,5
Kevin Martin,Chase Budinger,7
Lorenzo Brown,Chase Budinger,15
Mo Williams,Chase Budinger,12
Nikola Pekovic,Chase Budinger,2
Ricky Rubio,Chase Budinger,4
Robbie Hummel,Chase Budinger,5
Sean Kilpatrick,Chase Budinger,3
Shabazz Muhammad,Chase Budinger,3
Thaddeus Young,Chase Budinger,7
Zach LaVine,Chase Budinger,22
Chris Bosh,Chris Andersen,3
Dwyane Wade,Chris Andersen,20
Goran Dragic,Chris Andersen,8
Henry Walker,Chris Andersen,3
Justin Hamilton,Chris Andersen,1
Luol Deng,Chris Andersen,7
Mario Chalmers,Chris Andersen,27
Michael Beasley,Chris Andersen,3
Norris Cole,Chris Andersen,12
Shabazz Napier,Chris Andersen,5
Tyler Johnson,Chris Andersen,4
Udonis Haslem,Chris Andersen,2
Chris Andersen,Chris Bosh,4
Danny Granger,Chris Bosh,5
Dwyane Wade,Chris Bosh,49
Hassan Whiteside,Chris Bosh,2
James Ennis,Chris Bosh,5
Josh McRoberts,Chris Bosh,7
Justin Hamilton,Chris Bosh,1
Luol Deng,Chris Bosh,16
Mario Chalmers,Chris Bosh,45
Norris Cole,Chris Bosh,35
Shabazz Napier,Chris Bosh,34
Shannon Brown,Chris Bosh,1
Shawne Williams,Chris Bosh,2
AJ Price,Chris Copeland,3
CJ Miles,Chris Copeland,2
CJ Watson,Chris Copeland,6
Damjan Rudez,Chris Copeland,1
David West,Chris Copeland,5
Donald Sloan,Chris Copeland,14
Ian Mahinmi,Chris Copeland,1
Lavoy Allen,Chris Copeland,8
Luis Scola,Chris Copeland,5
Rodney Stuckey,Chris Copeland,10
Roy Hibbert,Chris Copeland,5
Solomon Hill,Chris Copeland,9
Glen Davis,Chris DouglasRoberts,1
Jordan Farmar,Chris DouglasRoberts,2
Alexey Shved,Chris Johnson,2
Brandon Davies,Chris Johnson,2
Bryce Cotton,Chris Johnson,3
Dante Exum,Chris Johnson,5
Derrick Favors,Chris Johnson,1
Elijah Millsap,Chris Johnson,4
Giannis Antetokounmpo,Chris Johnson,1
Gordon Hayward,Chris Johnson,1
Jack Cooley,Chris Johnson,1
Jared Dudley,Chris Johnson,1
Jerryd Bayless,Chris Johnson,2
Joe Ingles,Chris Johnson,4
KJ McDaniels,Chris Johnson,1
Malcolm Thomas,Chris Johnson,1
Michael Carter-Williams,Chris Johnson,3
Nerlens Noel,Chris Johnson,2
Rodney Hood,Chris Johnson,1
Rudy Gobert,Chris Johnson,1
Tony Wroten,Chris Johnson,5
Trevor Booker,Chris Johnson,2
Trey Burke,Chris Johnson,4
Tyler Ennis,Chris Johnson,2
Zaza Pachulia,Chris Johnson,1
Allen Crabbe,Chris Kaman,5
Arron Afflalo,Chris Kaman,3
CJ McCollum,Chris Kaman,10
Damian Lillard,Chris Kaman,36
Dorell Wright,Chris Kaman,7
LaMarcus Aldridge,Chris Kaman,8
Meyers Leonard,Chris Kaman,2
Nicolas Batum,Chris Kaman,23
Robin Lopez,Chris Kaman,1
Steve Blake,Chris Kaman,62
Thomas Robinson,Chris Kaman,1
Tim Frazier,Chris Kaman,1
Victor Claver,Chris Kaman,1
Wesley Matthews,Chris Kaman,12
Will Barton,Chris Kaman,6
Blake Griffin,Chris Paul,49
DeAndre Jordan,Chris Paul,8
Glen Davis,Chris Paul,1
Hedo Turkoglu,Chris Paul,2
JJ Redick,Chris Paul,20
Jamal Crawford,Chris Paul,7
Matt Barnes,Chris Paul,16
Spencer Hawes,Chris Paul,6
Alexey Shved,Cleanthony Early,3
Andrea Bargnani,Cleanthony Early,6
Cole Aldrich,Cleanthony Early,5
J.R. Smith,Cleanthony Early,3
Jason Smith,Cleanthony Early,5
Jose Calderon,Cleanthony Early,3
Langston Galloway,Cleanthony Early,3
Lou Amundson,Cleanthony Early,3
Quincy Acy,Cleanthony Early,2
Ricky Ledo,Cleanthony Early,1
Shane Larkin,Cleanthony Early,13
Tim Jr. Hardaway,Cleanthony Early,1
Travis Wear,Cleanthony Early,4
James Harden,Clint Capela,4
Joey Dorsey,Clint Capela,1
Josh Smith,Clint Capela,3
Pablo Prigioni,Clint Capela,5
Al Jefferson,Cody Zeller,7
Brian Roberts,Cody Zeller,21
Gary Neal,Cody Zeller,6
Gerald Henderson,Cody Zeller,27
Kemba Walker,Cody Zeller,36
Lance Stephenson,Cody Zeller,26
Michael Kidd-Gilchrist,Cody Zeller,7
Mo Williams,Cody Zeller,16
Alexey Shved,Cole Aldrich,5
Carmelo Anthony,Cole Aldrich,6
Cleanthony Early,Cole Aldrich,2
Iman Shumpert,Cole Aldrich,2
J.R. Smith,Cole Aldrich,9
Jason Smith,Cole Aldrich,10
Jose Calderon,Cole Aldrich,15
Lance Thomas,Cole Aldrich,1
Langston Galloway,Cole Aldrich,7
Pablo Prigioni,Cole Aldrich,8
Quincy Acy,Cole Aldrich,3
Ricky Ledo,Cole Aldrich,1
Shane Larkin,Cole Aldrich,10
Tim Jr. Hardaway,Cole Aldrich,13
Travis Wear,Cole Aldrich,2
Andrew Wiggins,Corey Brewer,5
Anthony Bennett,Corey Brewer,3
Donatas Motiejunas,Corey Brewer,15
Dwight Howard,Corey Brewer,1
Gorgui Dieng,Corey Brewer,12
Isaiah Canaan,Corey Brewer,1
James Harden,Corey Brewer,43
Jason Terry,Corey Brewer,30
Jeff Adrien,Corey Brewer,2
Joey Dorsey,Corey Brewer,5
Josh Smith,Corey Brewer,31
Kevin Martin,Corey Brewer,2
Kostas Papanikolaou,Corey Brewer,2
Mo Williams,Corey Brewer,19
Nick Johnson,Corey Brewer,1
Nikola Pekovic,Corey Brewer,1
Pablo Prigioni,Corey Brewer,12
Patrick Beverley,Corey Brewer,11
Ricky Rubio,Corey Brewer,5
Robbie Hummel,Corey Brewer,2
Ronny Turiaf,Corey Brewer,1
Shabazz Muhammad,Corey Brewer,1
Terrence Jones,Corey Brewer,4
Thaddeus Young,Corey Brewer,4
Trevor Ariza,Corey Brewer,26
Zach LaVine,Corey Brewer,5
Alan Anderson,Cory Jefferson,4
Bojan Bogdanovic,Cory Jefferson,2
Darius Morris,Cory Jefferson,7
Deron Williams,Cory Jefferson,8
Jarrett Jack,Cory Jefferson,14
Jorge Gutierrez,Cory Jefferson,2
Markel Brown,Cory Jefferson,2
Mason Plumlee,Cory Jefferson,1
Sergey Karasev,Cory Jefferson,1
Aron Baynes,Cory Joseph,4
Boris Diaw,Cory Joseph,18
Danny Green,Cory Joseph,9
Jeff Ayres,Cory Joseph,3
Kawhi Leonard,Cory Joseph,6
Kyle Anderson,Cory Joseph,3
Manu Ginobili,Cory Joseph,25
Marco Belinelli,Cory Joseph,3
Matt Bonner,Cory Joseph,2
Patty Mills,Cory Joseph,2
Tiago Splitter,Cory Joseph,2
Tim Duncan,Cory Joseph,13
Tony Parker,Cory Joseph,2
Beno Udrih,Courtney Lee,24
Jeff Green,Courtney Lee,18
Jon Leuer,Courtney Lee,4
Kosta Koufos,Courtney Lee,8
Marc Gasol,Courtney Lee,50
Mike Conley,Courtney Lee,42
Nick Calathes,Courtney Lee,7
Quincy Pondexter,Courtney Lee,3
Tayshaun Prince,Courtney Lee,2
Tony Allen,Courtney Lee,13
Vince Carter,Courtney Lee,8
Zach Randolph,Courtney Lee,29
Andre Drummond,DJ Augustin,5
Anthony Morrow,DJ Augustin,1
Anthony Tolliver,DJ Augustin,1
Caron Butler,DJ Augustin,2
Dion Waiters,DJ Augustin,5
Enes Kanter,DJ Augustin,3
Greg Monroe,DJ Augustin,11
Jodie Meeks,DJ Augustin,3
Jonas Jerebko,DJ Augustin,3
Josh Smith,DJ Augustin,3
Kentavious Caldwell-Pope,DJ Augustin,8
Kyle Singler,DJ Augustin,8
Mitch McGary,DJ Augustin,1
Nick Collison,DJ Augustin,5
Perry Jones,DJ Augustin,1
Russell Westbrook,DJ Augustin,11
Serge Ibaka,DJ Augustin,4
Steven Adams,DJ Augustin,1
Austin Rivers,Dahntay Jones,2
Chris Paul,Dahntay Jones,1
Ekpe Udoh,Dahntay Jones,1
Glen Davis,Dahntay Jones,1
Spencer Hawes,Dahntay Jones,1
Allen Crabbe,Damian Lillard,6
Alonzo Gee,Damian Lillard,2
Arron Afflalo,Damian Lillard,1
CJ McCollum,Damian Lillard,6
Chris Kaman,Damian Lillard,9
Dorell Wright,Damian Lillard,3
Joel Freeland,Damian Lillard,3
LaMarcus Aldridge,Damian Lillard,34
Meyers Leonard,Damian Lillard,4
Nicolas Batum,Damian Lillard,65
Robin Lopez,Damian Lillard,13
Steve Blake,Damian Lillard,19
Thomas Robinson,Damian Lillard,1
Wesley Matthews,Damian Lillard,28
Will Barton,Damian Lillard,1
AJ Price,Damjan Rudez,7
CJ Miles,Damjan Rudez,1
CJ Watson,Damjan Rudez,25
Chris Copeland,Damjan Rudez,4
David West,Damjan Rudez,3
Donald Sloan,Damjan Rudez,15
George Hill,Damjan Rudez,7
Ian Mahinmi,Damjan Rudez,3
Lavoy Allen,Damjan Rudez,3
Luis Scola,Damjan Rudez,9
Rodney Stuckey,Damjan Rudez,15
Roy Hibbert,Damjan Rudez,3
Shayne Whittington,Damjan Rudez,2
Solomon Hill,Damjan Rudez,7
Arron Afflalo,Danilo Gallinari,2
Darrell Arthur,Danilo Gallinari,4
Erick Green,Danilo Gallinari,2
Gary Harris,Danilo Gallinari,3
JJ Hickson,Danilo Gallinari,7
Jameer Nelson,Danilo Gallinari,18
Joffrey Lauvergne,Danilo Gallinari,3
Jusuf Nurkic,Danilo Gallinari,3
Kenneth Faried,Danilo Gallinari,4
Nate Robinson,Danilo Gallinari,4
Randy Foye,Danilo Gallinari,15
Ty Lawson,Danilo Gallinari,63
Will Barton,Danilo Gallinari,3
Wilson Chandler,Danilo Gallinari,16
Chris Andersen,Danny Granger,1
Chris Bosh,Danny Granger,3
Dwyane Wade,Danny Granger,11
James Ennis,Danny Granger,1
Luol Deng,Danny Granger,2
Mario Chalmers,Danny Granger,7
Norris Cole,Danny Granger,13
Shabazz Napier,Danny Granger,5
Shawne Williams,Danny Granger,1
Udonis Haslem,Danny Granger,4
Aron Baynes,Danny Green,1
Austin Daye,Danny Green,1
Boris Diaw,Danny Green,27
Cory Joseph,Danny Green,21
Kawhi Leonard,Danny Green,29
Kyle Anderson,Danny Green,5
Manu Ginobili,Danny Green,32
Marco Belinelli,Danny Green,15
Matt Bonner,Danny Green,10
Patty Mills,Danny Green,13
Tiago Splitter,Danny Green,15
Tim Duncan,Danny Green,39
Tony Parker,Danny Green,56
Alexis Ajinca,Dante Cunningham,11
Anthony Davis,Dante Cunningham,12
Austin Rivers,Dante Cunningham,9
Elliot Williams,Dante Cunningham,1
Eric Gordon,Dante Cunningham,23
Jeff Withey,Dante Cunningham,3
Jimmer Fredette,Dante Cunningham,4
Jrue Holiday,Dante Cunningham,16
Luke Babbitt,Dante Cunningham,1
Nate Wolters,Dante Cunningham,1
Norris Cole,Dante Cunningham,8
Omer Asik,Dante Cunningham,2
Quincy Pondexter,Dante Cunningham,1
Ryan Anderson,Dante Cunningham,6
Toney Douglas,Dante Cunningham,5
Tyreke Evans,Dante Cunningham,41
Alec Burks,Dante Exum,4
Chris Johnson,Dante Exum,1
Derrick Favors,Dante Exum,7
Elijah Millsap,Dante Exum,1
Enes Kanter,Dante Exum,1
Gordon Hayward,Dante Exum,30
Ian Clark,Dante Exum,2
Jeremy Evans,Dante Exum,1
Joe Ingles,Dante Exum,23
Rodney Hood,Dante Exum,5
Rudy Gobert,Dante Exum,12
Steve Novak,Dante Exum,1
Trevor Booker,Dante Exum,11
Trey Burke,Dante Exum,8
Alan Anderson,Darius Morris,2
Bojan Bogdanovic,Darius Morris,1
Brandon Davies,Darius Morris,1
Cory Jefferson,Darius Morris,1
Jerome Jordan,Darius Morris,1
Joe Johnson,Darius Morris,2
Markel Brown,Darius Morris,2
Mirza Teletovic,Darius Morris,2
Sergey Karasev,Darius Morris,1
Arron Afflalo,Darrell Arthur,7
Danilo Gallinari,Darrell Arthur,6
Erick Green,Darrell Arthur,2
Gary Harris,Darrell Arthur,2
JJ Hickson,Darrell Arthur,3
Jameer Nelson,Darrell Arthur,18
Jusuf Nurkic,Darrell Arthur,1
Kenneth Faried,Darrell Arthur,1
Nate Robinson,Darrell Arthur,16
Randy Foye,Darrell Arthur,9
Ty Lawson,Darrell Arthur,52
Will Barton,Darrell Arthur,3
Wilson Chandler,Darrell Arthur,7
Ben McLemore,Darren Collison,16
Carl Landry,Darren Collison,2
DeMarcus Cousins,Darren Collison,24
Derrick Williams,Darren Collison,5
Jason Thompson,Darren Collison,5
Nik Stauskas,Darren Collison,2
Omri Casspi,Darren Collison,4
Ramon Sessions,Darren Collison,3
Rudy Gay,Darren Collison,23
Andre Iguodala,David Lee,20
Andrew Bogut,David Lee,5
Brandon Rush,David Lee,1
Draymond Green,David Lee,4
Harrison Barnes,David Lee,3
Justin Holiday,David Lee,3
Klay Thompson,David Lee,13
Leandro Barbosa,David Lee,4
Marreese Speights,David Lee,7
Shaun Livingston,David Lee,27
Stephen Curry,David Lee,26
Derrick Williams,David Stockton,1
CJ Miles,David West,10
CJ Watson,David West,37
Chris Copeland,David West,5
Donald Sloan,David West,20
George Hill,David West,70
Ian Mahinmi,David West,1
Lavoy Allen,David West,5
Luis Scola,David West,1
Paul George,David West,2
Rodney Stuckey,David West,45
Roy Hibbert,David West,14
Solomon Hill,David West,30
Austin Rivers,DeAndre Jordan,4
Blake Griffin,DeAndre Jordan,76
Chris Paul,DeAndre Jordan,113
Glen Davis,DeAndre Jordan,1
Hedo Turkoglu,DeAndre Jordan,1
JJ Redick,DeAndre Jordan,21
Jamal Crawford,DeAndre Jordan,18
Jared Cunningham,DeAndre Jordan,1
Jordan Farmar,DeAndre Jordan,3
Matt Barnes,DeAndre Jordan,17
Reggie Bullock,DeAndre Jordan,1
Spencer Hawes,DeAndre Jordan,5
Andre Miller,DeJuan Blair,3
Bradley Beal,DeJuan Blair,1
Garrett Temple,DeJuan Blair,3
John Wall,DeJuan Blair,1
Kevin Seraphin,DeJuan Blair,2
Martell Webster,DeJuan Blair,1
Otto Porter,DeJuan Blair,2
Paul Pierce,DeJuan Blair,1
Ramon Sessions,DeJuan Blair,1
Rasual Butler,DeJuan Blair,1
Will Bynum,DeJuan Blair,2
Amir Johnson,DeMar DeRozan,31
Charles Hayes,DeMar DeRozan,3
Greivis Vasquez,DeMar DeRozan,32
James Johnson,DeMar DeRozan,2
Jonas Valanciunas,DeMar DeRozan,4
Kyle Lowry,DeMar DeRozan,67
Louis Williams,DeMar DeRozan,17
Patrick Patterson,DeMar DeRozan,13
Terrence Ross,DeMar DeRozan,14
Tyler Hansbrough,DeMar DeRozan,1
Andre Miller,DeMarcus Cousins,11
Ben McLemore,DeMarcus Cousins,25
Darren Collison,DeMarcus Cousins,72
Derrick Williams,DeMarcus Cousins,5
Jason Thompson,DeMarcus Cousins,9
Nik Stauskas,DeMarcus Cousins,6
Omri Casspi,DeMarcus Cousins,20
Ramon Sessions,DeMarcus Cousins,14
Ray McCallum,DeMarcus Cousins,46
Reggie Evans,DeMarcus Cousins,2
Rudy Gay,DeMarcus Cousins,50
Al Horford,DeMarre Carroll,40
Dennis Schroder,DeMarre Carroll,19
Elton Brand,DeMarre Carroll,1
Jeff Teague,DeMarre Carroll,75
Kent Bazemore,DeMarre Carroll,5
Kyle Korver,DeMarre Carroll,31
Mike Muscala,DeMarre Carroll,2
Mike Scott,DeMarre Carroll,5
Paul Millsap,DeMarre Carroll,62
Pero Antic,DeMarre Carroll,9
Shelvin Mack,DeMarre Carroll,5
Thabo Sefolosha,DeMarre Carroll,9
Al Horford,Dennis Schroder,20
Austin Daye,Dennis Schroder,2
DeMarre Carroll,Dennis Schroder,1
Elton Brand,Dennis Schroder,1
Jeff Teague,Dennis Schroder,2
Kent Bazemore,Dennis Schroder,12
Kyle Korver,Dennis Schroder,7
Mike Muscala,Dennis Schroder,2
Mike Scott,Dennis Schroder,9
Paul Millsap,Dennis Schroder,9
Pero Antic,Dennis Schroder,8
Shelvin Mack,Dennis Schroder,7
Thabo Sefolosha,Dennis Schroder,3
Alan Anderson,Deron Williams,4
Bojan Bogdanovic,Deron Williams,6
Brook Lopez,Deron Williams,14
Cory Jefferson,Deron Williams,2
Jarrett Jack,Deron Williams,9
Jerome Jordan,Deron Williams,4
Joe Johnson,Deron Williams,40
Kevin Garnett,Deron Williams,6
Markel Brown,Deron Williams,4
Mason Plumlee,Deron Williams,7
Mirza Teletovic,Deron Williams,9
Sergey Karasev,Deron Williams,3
Thaddeus Young,Deron Williams,3
Alec Burks,Derrick Favors,20
Bryce Cotton,Derrick Favors,1
Chris Johnson,Derrick Favors,2
Dante Exum,Derrick Favors,26
Elijah Millsap,Derrick Favors,9
Enes Kanter,Derrick Favors,2
Gordon Hayward,Derrick Favors,81
Joe Ingles,Derrick Favors,32
Rodney Hood,Derrick Favors,26
Rudy Gobert,Derrick Favors,19
Trevor Booker,Derrick Favors,9
Trey Burke,Derrick Favors,101
Aaron Brooks,Derrick Rose,4
E'Twaun Moore,Derrick Rose,1
Jimmy Butler,Derrick Rose,21
Joakim Noah,Derrick Rose,31
Kirk Hinrich,Derrick Rose,5
Mike Dunleavy,Derrick Rose,10
Nikola Mirotic,Derrick Rose,3
Pau Gasol,Derrick Rose,34
Taj Gibson,Derrick Rose,7
Tony Snell,Derrick Rose,1
Andre Miller,Derrick Williams,35
Ben McLemore,Derrick Williams,8
Carl Landry,Derrick Williams,2
Darren Collison,Derrick Williams,16
David Stockton,Derrick Williams,2
DeMarcus Cousins,Derrick Williams,17
Jason Thompson,Derrick Williams,5
Nik Stauskas,Derrick Williams,12
Omri Casspi,Derrick Williams,14
Quincy Miller,Derrick Williams,1
Ramon Sessions,Derrick Williams,12
Ray McCallum,Derrick Williams,14
Reggie Evans,Derrick Williams,5
Rudy Gay,Derrick Williams,17
Al-Farouq Aminu,Devin Harris,7
Brandan Wright,Devin Harris,1
Chandler Parsons,Devin Harris,15
Charlie Villanueva,Devin Harris,5
Dirk Nowitzki,Devin Harris,18
Jameer Nelson,Devin Harris,3
Juan Jose Barea,Devin Harris,12
Monta Ellis,Devin Harris,24
Rajon Rondo,Devin Harris,6
Raymond Felton,Devin Harris,2
Richard Jefferson,Devin Harris,7
Tyson Chandler,Devin Harris,5
Elfrid Payton,Devyn Marble,3
Kyle O'Quinn,Devyn Marble,1
Luke Ridnour,Devyn Marble,1
Nikola Vucevic,Devyn Marble,2
Victor Oladipo,Devyn Marble,2
Ben Gordon,Dewayne Dedmon,4
Elfrid Payton,Dewayne Dedmon,18
Evan Fournier,Dewayne Dedmon,6
Kyle O'Quinn,Dewayne Dedmon,1
Luke Ridnour,Dewayne Dedmon,3
Maurice Harkless,Dewayne Dedmon,2
Nikola Vucevic,Dewayne Dedmon,2
Tobias Harris,Dewayne Dedmon,2
Victor Oladipo,Dewayne Dedmon,10
Willie Green,Dewayne Dedmon,1
AJ Price,Dion Waiters,3
Anderson Varejao,Dion Waiters,3
Andre Roberson,Dion Waiters,4
Anthony Morrow,Dion Waiters,5
D.J. Augustin,Dion Waiters,9
Enes Kanter,Dion Waiters,2
Ish Smith,Dion Waiters,2
James Jones,Dion Waiters,2
Jeremy Lamb,Dion Waiters,1
Joe Harris,Dion Waiters,3
Kendrick Perkins,Dion Waiters,1
Kevin Durant,Dion Waiters,5
Kevin Love,Dion Waiters,8
Kyle Singler,Dion Waiters,4
Kyrie Irving,Dion Waiters,16
LeBron James,Dion Waiters,20
Matthew Dellavedova,Dion Waiters,10
Mike Miller,Dion Waiters,3
Mitch McGary,Dion Waiters,1
Nick Collison,Dion Waiters,9
Perry Jones,Dion Waiters,3
Reggie Jackson,Dion Waiters,6
Russell Westbrook,Dion Waiters,39
Serge Ibaka,Dion Waiters,4
Shawn Marion,Dion Waiters,4
Steve Novak,Dion Waiters,1
Steven Adams,Dion Waiters,2
Tristan Thompson,Dion Waiters,1
Al-Farouq Aminu,Dirk Nowitzki,4
Amar'e Stoudemire,Dirk Nowitzki,1
Bernard James,Dirk Nowitzki,1
Brandan Wright,Dirk Nowitzki,3
Chandler Parsons,Dirk Nowitzki,26
Charlie Villanueva,Dirk Nowitzki,1
Devin Harris,Dirk Nowitzki,47
Greg Smith,Dirk Nowitzki,2
Jae Crowder,Dirk Nowitzki,1
Jameer Nelson,Dirk Nowitzki,18
Juan Jose Barea,Dirk Nowitzki,56
Monta Ellis,Dirk Nowitzki,84
Rajon Rondo,Dirk Nowitzki,71
Raymond Felton,Dirk Nowitzki,5
Richard Jefferson,Dirk Nowitzki,9
Tyson Chandler,Dirk Nowitzki,19
CJ Miles,Donald Sloan,5
CJ Watson,Donald Sloan,1
Chris Copeland,Donald Sloan,1
Damjan Rudez,Donald Sloan,1
David West,Donald Sloan,5
Ian Mahinmi,Donald Sloan,2
Lavoy Allen,Donald Sloan,1
Luis Scola,Donald Sloan,7
Paul George,Donald Sloan,1
