from,to,count
Deron Williams,Alan Anderson,27
Jarrett Jack,Alan Anderson,26
Jerome Jordan,Alan Anderson,2
Joe Johnson,Alan Anderson,21
Kevin Garnett,Alan Anderson,4
Markel Brown,Alan Anderson,3
Mason Plumlee,Alan Anderson,14
Mirza Teletovic,Alan Anderson,4
Sergey Karasev,Alan Anderson,3
Thaddeus Young,Alan Anderson,1
Dante Exum,Alec Burks,5
Derrick Favors,Alec Burks,5
Enes Kanter,Alec Burks,5
Gordon Hayward,Alec Burks,12
Joe Ingles,Alec Burks,3
Rodney Hood,Alec Burks,2
Rudy Gobert,Alec Burks,1
Trevor Booker,Alec Burks,3
Trey Burke,Alec Burks,14
AJ Price,Alex Len,1
Archie Goodwin,Alex Len,3
Brandan Wright,Alex Len,1
Brandon Knight,Alex Len,1
Eric Bledsoe,Alex Len,51
Gerald Green,Alex Len,11
Goran Dragic,Alex Len,17
Isaiah Thomas,Alex Len,7
Marcus Morris,Alex Len,5
Markieff Morris,Alex Len,17
PJ Tucker,Alex Len,4
TJ Warren,Alex Len,1
Andrea Bargnani,Alexey Shved,5
Brandon Davies,Alexey Shved,4
Cleanthony Early,Alexey Shved,1
Dwight Howard,Alexey Shved,1
Henry Sims,Alexey Shved,1
Hollis Thompson,Alexey Shved,2
JaKarr Sampson,Alexey Shved,2
Jason Smith,Alexey Shved,4
Joey Dorsey,Alexey Shved,1
KJ McDaniels,Alexey Shved,4
Kostas Papanikolaou,Alexey Shved,3
Lance Thomas,Alexey Shved,2
Langston Galloway,Alexey Shved,8
Lou Amundson,Alexey Shved,2
Luc Moute a Mbah,Alexey Shved,2
Malcolm Thomas,Alexey Shved,1
Michael Carter-Williams,Alexey Shved,1
Nerlens Noel,Alexey Shved,2
Patrick Beverley,Alexey Shved,1
Quincy Acy,Alexey Shved,4
Shane Larkin,Alexey Shved,4
Tony Wroten,Alexey Shved,1
Travis Wear,Alexey Shved,2
Anthony Davis,Alexis Ajinca,2
Austin Rivers,Alexis Ajinca,8
Dante Cunningham,Alexis Ajinca,2
Darius Miller,Alexis Ajinca,1
Elliot Williams,Alexis Ajinca,1
Eric Gordon,Alexis Ajinca,23
Gal Mekel,Alexis Ajinca,4
Jimmer Fredette,Alexis Ajinca,9
John Salmons,Alexis Ajinca,2
Jrue Holiday,Alexis Ajinca,2
Luke Babbitt,Alexis Ajinca,4
Nate Wolters,Alexis Ajinca,2
Norris Cole,Alexis Ajinca,21
Quincy Pondexter,Alexis Ajinca,6
Russ Smith,Alexis Ajinca,1
Ryan Anderson,Alexis Ajinca,2
Toney Douglas,Alexis Ajinca,2
Tyreke Evans,Alexis Ajinca,19
Alonzo Gee,Allen Crabbe,1
Arron Afflalo,Allen Crabbe,1
CJ McCollum,Allen Crabbe,3
Chris Kaman,Allen Crabbe,3
Damian Lillard,Allen Crabbe,12
