name,score1,msp1,score2,msp2,score3,msp3
Nigel Hayes,0.668,Malcolm Delaney,0.64,Bobby Brown,0.618,JJ Redick
Nik Stauskas,0.794,Briante Weber,0.745,Terrence Ross,0.744,Shabazz Napier
Nikola Jokic,0.972,Jrue Holiday,0.97,Jamal Murray,0.967,Serge Ibaka
Nikola Mirotic,0.959,Serge Ibaka,0.959,LaMarcus Aldridge,0.958,Nikola Jokic
Nikola Vucevic,0.96,Jonathon Simmons,0.944,Thaddeus Young,0.94,Wilson Chandler
Noah Vonleh,0.863,Otto Porter Jr,0.853,Stephen Curry,0.851,Elfrid Payton
Norman Powell,0.874,Gary Harris,0.87,Serge Ibaka,0.866,Malcolm Brogdon
OG Anunoby,0.915,PJ Tucker,0.848,Dante Exum,0.807,Darren Collison
Okaro White,0.734,Juan Hernangomez,0.72,Henry Ellenson,0.695,Joel Bolomboy
Omari Johnson,0.709,Derrick Jones Jr,0.689,Wade Baldwin IV,0.676,Juan Hernangomez
Omer Asik,0.799,Timothe LuwawuCabarrot,0.79,Monte Morris,0.772,Sam Dekker
Omri Casspi,0.852,Paul Millsap,0.841,AlFarouq Aminu,0.833,Doug McDermott
Otto Porter Jr,0.972,Devin Booker,0.971,Marc Gasol,0.97,Serge Ibaka
Pascal Siakam,0.87,Anthony Davis,0.868,Frank Kaminsky,0.866,Eric Gordon
Pat Connaughton,0.873,Mario Chalmers,0.864,Spencer Dinwiddie,0.864,Frank Mason
Patrick Beverley,0.816,DeMarre Carroll,0.781,Dragan Bender,0.777,Kyle Collinsworth
Patrick McCaw,0.936,Wayne Selden,0.867,James Ennis III,0.867,Bradley Beal
Patrick Patterson,0.827,Wayne Ellington,0.802,Fred VanVleet,0.8,Emmanuel Mudiay
Patty Mills,0.897,Zach LaVine,0.895,Myles Turner,0.876,Otto Porter Jr
Pau Gasol,0.968,Ish Smith,0.964,Bradley Beal,0.961,Devin Booker
Paul George,0.981,Bradley Beal,0.98,Tobias Harris,0.977,Kemba Walker
Paul Millsap,0.926,Rondae HollisJefferson,0.925,Kevin Durant,0.924,Tobias Harris
Paul Zipser,0.849,Alec Burks,0.826,Jerian Grant,0.825,James Ennis III
PJ Tucker,0.915,OG Anunoby,0.844,Dante Exum,0.824,Darren Collison
Quincy Acy,0.815,Lance Thomas,0.771,Jason Terry,0.748,Malik Beasley
Quincy Pondexter,0.697,Dante Exum,0.685,OG Anunoby,0.672,Shaquille Harrison
Quinn Cook,0.918,Frank Ntilikina,0.894,Otto Porter Jr,0.894,Nikola Mirotic
Rajon Rondo,0.939,Jimmy Butler,0.938,Markieff Morris,0.938,Dillon Brooks
Ramon Sessions,0.779,DeMarcus Cousins,0.769,Matthew Dellavedova,0.759,Kyle Lowry
Rashad Vaughn,0.823,Andrew White III,0.813,Abdel Nader,0.763,Aaron Harrison
Raul Neto,0.868,Jae Crowder,0.854,Rodney Purvis,0.828,Avery Bradley
Raymond Felton,0.952,KarlAnthony Towns,0.947,Otto Porter Jr,0.947,Markieff Morris
Reggie Bullock,0.969,Bradley Beal,0.968,George Hill,0.959,Joel Embiid
Reggie Jackson,0.969,Rodney Hood,0.959,Bobby Portis,0.955,Jeremy Lamb
Richard Jefferson,0.766,Nerlens Noel,0.748,Steven Adams,0.731,Cory Joseph
Richaun Holmes,0.828,LaMarcus Aldridge,0.825,DeMar DeRozan,0.819,Willie CauleyStein
Ricky Rubio,0.957,Trey Burke,0.956,Reggie Bullock,0.953,Carmelo Anthony
RJ Hunter,0.61,Nik Stauskas,0.608,Gary Payton II,0.605,Thomas Bryant
Robert Covington,0.914,Shelvin Mack,0.891,DeAaron Fox,0.881,Jaylen Brown
Robin Lopez,0.938,Zach Randolph,0.921,TJ McConnell,0.915,Jamal Murray
Rodney Hood,0.972,Devin Booker,0.969,Reggie Jackson,0.967,Bradley Beal
Rodney McGruder,0.802,Timothe LuwawuCabarrot,0.764,Alex Abrines,0.76,Draymond Green
