from,to,count
Andrew Bogut,Brandon Ingram,1
Andrew Bogut,Jordan Clarkson,4
Andrew Bogut,Josh Hart,2
Andrew Bogut,Julius Randle,3
Andrew Bogut,Kentavious CaldwellPope,2
Andrew Bogut,Kyle Kuzma,1
Marvin Williams,Cody Zeller,1
Marvin Williams,Dwayne Bacon,1
Marvin Williams,Dwight Howard,24
Marvin Williams,Frank Kaminsky,1
Marvin Williams,Jeremy Lamb,4
Marvin Williams,Kemba Walker,14
Marvin Williams,Michael KiddGilchrist,16
Marvin Williams,Nicolas Batum,18
Marvin Williams,Willy Hernangomez,2
Chris Paul,Clint Capela,50
Chris Paul,Eric Gordon,54
Chris Paul,Gerald Green,28
Chris Paul,James Harden,27
Chris Paul,Joe Johnson,8
Chris Paul,Luc Mbah a Moute,34
Chris Paul,Nene,23
Chris Paul,PJ Tucker,36
Chris Paul,Ryan Anderson,53
Chris Paul,Tarik Black,11
Chris Paul,Trevor Ariza,43
Raymond Felton,Alex Abrines,10
Raymond Felton,Andre Roberson,3
Raymond Felton,Carmelo Anthony,11
Raymond Felton,Corey Brewer,1
Raymond Felton,Dakari Johnson,1
Raymond Felton,Jerami Grant,51
Raymond Felton,Josh Huestis,11
Raymond Felton,Kyle Singler,2
Raymond Felton,Nick Collison,1
Raymond Felton,Patrick Patterson,31
Raymond Felton,Paul George,24
Raymond Felton,Russell Westbrook,8
Raymond Felton,Steven Adams,6
Raymond Felton,Terrance Ferguson,18
Channing Frye,Andre Ingram,1
Channing Frye,Cedi Osman,2
Channing Frye,Derrick Rose,1
Channing Frye,Dwyane Wade,2
Channing Frye,JR Smith,2
Channing Frye,Jeff Green,6
Channing Frye,Jose Calderon,1
Channing Frye,Josh Hart,4
Channing Frye,Kentavious CaldwellPope,2
Channing Frye,Kevin Love,1
Channing Frye,Kyle Korver,8
Channing Frye,Kyle Kuzma,1
Channing Frye,LeBron James,3
Channing Frye,Travis Wear,1
Channing Frye,Tristan Thompson,1
Channing Frye,Tyler Ennis,1
Gerald Green,Clint Capela,2
Gerald Green,Eric Gordon,4
Gerald Green,James Harden,1
Gerald Green,Joe Johnson,2
Gerald Green,Luc Mbah a Moute,1
Gerald Green,Nene,2
Gerald Green,PJ Tucker,1
Gerald Green,Ryan Anderson,2
Gerald Green,Tarik Black,3
Gerald Green,Tim Quarterman,1
Gerald Green,Trevor Ariza,2
Jarrett Jack,Courtney Lee,47
Jarrett Jack,Damyean Dotson,3
Jarrett Jack,Doug McDermott,10
Jarrett Jack,Enes Kanter,68
Jarrett Jack,Frank Ntilikina,2
Jarrett Jack,Isaiah Hicks,3
Jarrett Jack,Joakim Noah,2
Jarrett Jack,Kristaps Porzingis,104
Jarrett Jack,Kyle OQuinn,13
Jarrett Jack,Lance Thomas,10
Jarrett Jack,Luke Kornet,6
Jarrett Jack,Michael Beasley,20
Jarrett Jack,Ron Baker,1
Jarrett Jack,Tim Hardaway Jr,32
